Domain,Approach,% solved,% noop loop,% loop,% Prime's cost improvement,% now can be solved (without Supporter cannot be solved),% Prime's cost get worse,% now cannot be solved (without Supporter could be solved),% same total cost as without Supporter,% cannot be solved without Supporter too,%Supporter act in vain,% min Prime's cost reached (compared with the joint compilation),% min Supporter and Prime's cost reached (compared with the joint compilation),ratio Prime improves compared with the cost in case there is no Supporter (average and deviation),ratio Prime gets worse compared with the cost in case there is no Supporter (average and deviation),"ratio Prime improves, remains unchanged or gets worse compared  the cost in case there is no Supporter (average and deviation)",Supporter's cost when Prime's cost is improved,Supporter's cost when Prime's cost gets worse,Supporter's cost when Supporter moves in vain,Supporter's cost (average and deviation),% of improvement to reach the minimum cost (compared with the joint compilation),% total time <=30s,Increase in total time compared to no Supporter when the total time >30,# times Supporter replans in those problems where Prime's cost is improved,# times Supporter replans in those problems where Prime's cost gets worse,# times Supporter replans in those problems where Supporter moves in vain,# times supp replans (average and deviation)
teleport-assistance1_domain,without_Supporter,100%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(48.5% | 21.7%),100%,-,-,-,-,-
teleport-assistance1_domain,CBO,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,56.5%,56.5%,(35.4% | 17.8%),(-% | -%),(35.4% | 17.8%),(3.0 | 0.0),(- | -),(- | -),(3.0 | 0.0),(19.8% | 26.1%),100%,(X- | X-),(1.9 | 0.3),(- | -),(- | -),(1.9 | 0.3)
teleport-assistance1_domain,BTA,100%,0%,0%,47%,0%,0%,0%,0%,0%,53%,88.3%,88.3%,(40.2% | 18.3%),(-% | -%),(18.9% | 23.6%),(3.0 | 0.0),(- | -),(1.8 | 0.4),(2.4 | 0.6),(30.4% | 30.9%),100%,(X- | X-),(1.8 | 0.4),(- | -),(1.0 | 0.0),(1.4 | 0.5)
teleport-assistance1_domain,BTA2,100%,0%,0%,69%,0%,0%,0%,0%,0%,30%,77.7%,77.7%,(37.5% | 18.1%),(-% | -%),(26.0% | 22.9%),(3.0 | 0.0),(- | -),(2.0 | 0.2),(2.7 | 0.5),(24.6% | 30.5%),100%,(X- | X-),(1.9 | 0.3),(- | -),(1.0 | 0.0),(1.6 | 0.5)
teleport-assistance2_domain,without_Supporter,100%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(72.8% | 21.0%),100%,-,-,-,-,-
teleport-assistance2_domain,CBO,10%,90%,0%,0%,0%,0%,90%,10%,0%,0%,0.0%,0.0%,(-% | -%),(-% | -%),(0% | 0.0%),(- | -),(- | -),(- | -),(0.0 | 0.0),(100.0% | 0.0%),100%,(X- | X-),(- | -),(- | -),(- | -),(1.0 | 0.0)
teleport-assistance2_domain,BTA,23%,77%,0%,23%,0%,0%,77%,0%,0%,0%,100.0%,100.0%,(97.6% | 11.6%),(-% | -%),(97.6% | 11.6%),(2.0 | 0.0),(- | -),(- | -),(2.0 | 0.0),(0.0% | 0.0%),100%,(X- | X-),(1.0 | 0.2),(- | -),(- | -),(1.0 | 0.2)
teleport-assistance2_domain,BTA2,15%,85%,0%,13%,0%,0%,85%,2%,0%,0%,100.0%,100.0%,(100.0% | 0.0%),(-% | -%),(86.7% | 34.0%),(2.0 | 0.0),(- | -),(- | -),(1.7 | 0.7),(13.3% | 34.0%),100%,(X- | X-),(1.0 | 0.0),(- | -),(- | -),(1.0 | 0.0)
car-assistance1_domain,without_Supporter,100%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(35.8% | 6.5%),100%,-,-,-,-,-
car-assistance1_domain,CBO,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,5.0%,5.0%,(16.2% | 5.1%),(-% | -%),(16.2% | 5.1%),(5.5 | 2.2),(- | -),(- | -),(5.5 | 2.2),(23.2% | 8.1%),100%,(X- | X-),(4.3 | 1.2),(- | -),(- | -),(4.3 | 1.2)
car-assistance1_domain,BTA,100%,0%,0%,90%,0%,0%,0%,0%,0%,10%,5.6%,5.6%,(16.0% | 5.4%),(-% | -%),(14.4% | 7.0%),(5.9 | 2.4),(- | -),(8.0 | 0.0),(6.2 | 2.4),(24.6% | 8.7%),100%,(X- | X-),(4.8 | 1.7),(- | -),(6.0 | 1.0),(4.9 | 1.6)
car-assistance1_domain,BTA2,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,5.0%,5.0%,(16.7% | 5.0%),(-% | -%),(16.7% | 5.0%),(5.5 | 2.2),(- | -),(- | -),(5.5 | 2.2),(22.7% | 8.4%),100%,(X- | X-),(4.2 | 1.2),(- | -),(- | -),(4.2 | 1.2)
car-assistance2_domain,without_Supporter,100%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(36.2% | 7.7%),100%,-,-,-,-,-
car-assistance2_domain,CBO,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,5.0%,5.0%,(19.9% | 7.2%),(-% | -%),(19.9% | 7.2%),(4.7 | 1.5),(- | -),(- | -),(4.7 | 1.5),(20.2% | 8.1%),100%,(X- | X-),(3.0 | 1.0),(- | -),(- | -),(3.0 | 1.0)
car-assistance2_domain,BTA,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,5.0%,5.0%,(19.9% | 7.2%),(-% | -%),(19.9% | 7.2%),(4.9 | 1.6),(- | -),(- | -),(4.9 | 1.6),(20.2% | 8.1%),100%,(X- | X-),(3.2 | 1.2),(- | -),(- | -),(3.2 | 1.2)
car-assistance2_domain,BTA2,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,5.0%,5.0%,(19.9% | 7.2%),(-% | -%),(19.9% | 7.2%),(4.7 | 1.5),(- | -),(- | -),(4.7 | 1.5),(20.2% | 8.1%),100%,(X- | X-),(3.0 | 1.0),(- | -),(- | -),(3.0 | 1.0)
visitall-assistance_domain,without_Supporter,22%,78%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(13.1% | 6.9%),100%,-,-,-,-,-
visitall-assistance_domain,CBO,100%,0%,0%,22%,78%,0%,0%,0%,0%,0%,100.0%,100.0%,(13.1% | 6.9%),(-% | -%),(13.1% | 6.9%),(1.3 | 0.5),(- | -),(- | -),(1.3 | 0.5),(0.0% | 0.0%),100%,(X- | X-),(1.6 | 0.5),(- | -),(- | -),(1.6 | 0.5)
visitall-assistance_domain,BTA,100%,0%,0%,16%,78%,0%,0%,6%,0%,0%,93.6%,93.6%,(11.6% | 6.7%),(-% | -%),(8.4% | 7.7%),(1.4 | 0.5),(- | -),(- | -),(1.3 | 0.6),(1.1% | 3.0%),100%,(X- | X-),(1.6 | 0.5),(- | -),(- | -),(1.5 | 0.5)
visitall-assistance_domain,BTA2,100%,0%,0%,16%,78%,0%,0%,6%,0%,0%,93.6%,93.6%,(11.6% | 6.7%),(-% | -%),(8.4% | 7.7%),(1.4 | 0.5),(- | -),(- | -),(1.3 | 0.6),(1.1% | 3.0%),100%,(X- | X-),(1.6 | 0.5),(- | -),(- | -),(1.5 | 0.5)
termes-assistance_domain,without_Supporter,100%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(75.1% | 6.8%),57%,-,-,-,-,-
termes-assistance_domain,CBO,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0.0%,0.0%,(53.8% | 15.4%),(-% | -%),(53.8% | 15.4%),(3.8 | 1.9),(- | -),(- | -),(3.8 | 1.9),(44.4% | 9.4%),12%,(X16.6 | X32.2),(3.9 | 1.9),(- | -),(- | -),(3.9 | 1.9)
termes-assistance_domain,BTA,96%,0%,4%,96%,0%,0%,4%,0%,0%,0%,0.0%,0.0%,(65.8% | 10.5%),(-% | -%),(65.8% | 10.5%),(15.8 | 7.0),(- | -),(- | -),(15.8 | 7.0),(25.2% | 11.4%),6%,(X20.8 | X33.4),(10.0 | 4.4),(- | -),(- | -),(10.0 | 4.4)
termes-assistance_domain,BTA2,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0.0%,0.0%,(60.8% | 12.5%),(-% | -%),(60.8% | 12.5%),(6.4 | 2.7),(- | -),(- | -),(6.4 | 2.7),(34.6% | 12.2%),4%,(X9.2 | X4.9),(6.4 | 2.7),(- | -),(- | -),(6.4 | 2.7)
